Acateno,118,118
Atempan,114,114
Atlequizayan,160,160
Ayotoxco de Guerrero,670,550
Caxhuacan,267,267
Cuetzalan del Progreso,4430,3900
Huehuetla,1255,1200
Hueyapan,490,400
Hueytamalco,5780,3500
Hueytlalpan,526,526
Huitzilan de Serdÿn,1789,1600
Ixtepec,420,420
Jonotla,680,680
Olintla,1145,1100
Teziutlÿn,63,63
Tlatlauquitepec,1720,1650
Tuzamapan de Galeana,630,630
Xochitlÿn de Vicente Suÿrez,725,700
Yaonÿhuac,200,200
Zacapoaxtla,22,22
Zapotitlÿn de M?ndez,500,500
Zongozotla,917,917
Zoquiapan,250,250
TOTAL,22871,19467
